,Title,Context,,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
0,首次由女性担任！瓦国这次的驻苏瓦高级专员很特别,图为瓦努阿图驻斐济高级委员会第一秘书布朗（Viran Brown）3日被任命为高级专员。（图/《瓦国日报》网站截图）【南太之声编译报道】瓦努阿图女性地位继续在各个领域获得提升，瓦努阿图驻斐济高级委员会第一秘书布朗（Viran Brown）3日被任命为高级专员，使她成为第一位被指派担任这一高级职位的女性。《瓦国日报》报道，在瓦努阿图外长对她进行任命之后，总统武罗巴拉武（Nikenike Vurobaravu）当日也对其进行了委任。外长纳帕特（Jotham Napat）和外交部总干事卡罗里斯（Kalfau Kaloris）都认为对她的任命是女性参与和领导公共生活方面的一项成就。卡罗里斯证实，布朗是独立以来第一位被任命为高级专员的女性。布朗将在政府的外交政策中发挥重要作用。她将处理与瓦努阿图有关的外交事务以及居住在斐济的瓦努阿图公民的利益和福利。纳帕特鼓励其他女性像布朗一样申请担任外交使团的职位。布朗说，她很荣幸被任命为代表瓦努阿图所有女性的专业职务。自去年8月前高级专员离职后，布朗作为瓦努阿图驻斐济代理高级专员一直履行职责。她于2020年至2023年在苏瓦担任瓦努阿图高级委员会第一秘书。,,499,历史,瓦努阿图  苏瓦,高级 瓦努阿图 女性 布朗 专员 ,答瓦努阿图高级委员会 苏瓦高级专员,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228885&idx=1&sn=ee2e479734457606735f77468351764d&chksm=bef6db63898152753f3e5c3f069a21492caded892fc4f2b5ff4da1e7de73c7682dc3d90bbf5a#rd,1683447860
",2023.5.7
1,拒绝日本海上安全合作提议 所国：先处理核污水排海问题,【南太之声编译报道】日本政府近日已表示准备在海上安全领域与所罗门群岛合作。据悉，所罗门群岛拒绝了这一提议，指出福岛核电站核污水排海是其首要关切，而不是海上安全合作。《所罗门星报》5月2日报道，消息人士表示，日本外相在本月早些时候访问霍尼亚拉期间讨论了日本对海上安全合作的兴趣。“日本一直在积极推动与所罗门群岛的海上安全合作。他们不断提出派遣一名海上安全政策顾问，支持所罗门群岛皇家警察部队（RSIPF）制定海上安全战略。”一名知情人士表示:“他们（日本）甚至试图通过加强‘太平洋岛国海上执法机构有效打击海上犯罪的能力项目’（这是联合国一个多边海上安全项目）参与我们的海上安全事务。但我们没有接受他们的提议，因为我们希望他们在讨论海上安全合作之前先处理福岛核污水的倾倒问题。我们生活在海洋上。日本也是一个岛国，他们应该更清楚一个安全和清洁的海洋对太平洋岛国的重要性。尽管日本一直强调海上安全的重要性，但他们仍然决定将放射性核污水倾倒入海洋，这严重损害了所罗门群岛和整个太平洋地区的安全利益。”该知情人士还表示：“日本大使馆还几次绕过外交部，直接向RSIPF提交了会议申请。这种行为表明，他们根本不尊重我国政府。他们的言行总是不一致。当捐助国试图干预我们在海上安全领域的治理时，我们感到很不舒服。”该知情人士指出，“希望日本政府能认识到，倾倒核污水是我们关注的问题之一，也是我们的底线之一。如果他们想与我们进行双边合作，他们应该首先处理这个问题。”,,622,历史,日本 所罗门群岛,海上 安全 日本 合作 所罗门 ,联合国 太平洋岛国海上执法机构有效打击海上犯罪的能力项目,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=1&sn=d8bf20795e9acae8e9b88f460d4df242&chksm=bef6db62898152748d4c4badd9d33d595ab38a777dae11a3009a5dade27a612976bc7485695a#rd,1683350860
",2023.5.7
2,法属波利尼西亚大选落幕 支持独立党派首次获胜,【南太之声编译报道】根据法属波利尼西亚5月1日公布的选举结果显示，支持独立的政党赢得了选举，获得了未来5年对该群岛事务的管理权，并为可能就其地位进行的公投开辟道路。法新社5月2日报道，在4月30日举行的第二轮选举中，由海外领土前领袖特马鲁（Oscar Temaru）领导的人民公仆党（Tavini Huiraatira）赢得了44.3%的选票，将在地区议会中获得绝对多数。目前预计该党派将提名53岁的布罗泽森（Moetai Brotherson）领导地区政府。这一结果将使支持独立的势力寻求推动法国当局举行公投。“我们不会在明天或下周就独立，”布罗泽森表示，“我与（法国）政府合作没有问题，这一点明天也不会改变。”负责海外领土事务的法国内政部长达尔马宁（Gerald Darmanin）说，波利尼西亚人“投票支持变革”，法国政府承认他们的“民主选择”。但这一结果对法国总统马克龙（Emmanuel Macron）领导的政府来说是一个打击。由于法国拥有战略性的海外领土，马克龙政府试图将法国塑造成太平洋地区的一个大国。法国一直拒绝就法属波利尼西亚的地位举行全民公决。在其另一个主要的太平洋领土新喀里多尼亚的公民投票中，独立一再遭到拒绝。这是支持独立的势力首次以绝对多数统治法属波利尼西亚，此前他们曾被迫结成脆弱的联盟。法属波利尼西亚是法国横跨加勒比海和太平洋的几个海外领地之一，其在全球的足迹是任何其他欧洲国家都无法比拟的。,,611,历史,法国 新喀里多尼亚,法国 独立 法属波利尼西亚 支持 政府 ,联合国 亚太计划 加勒比海,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=2&sn=cb2ec9eae6460741ae8cf580be596970&chksm=bef6db6289815274f690f1371a849032dab5961f773fa33a27c68ed3fe32ef431e127b669977#rd,1683350860
",2023.5.7
3,美国总统首访巴新 拜登5月22日抵莫尔兹比港,【南太之声编译报道】巴布亚新几内亚总理马拉佩（James Marape）近日表示，美国总统拜登（Joe Biden）将于5月22日访问巴布亚新几内亚。巴新《国民报》5月1日报道，拜登将在莫尔兹比港停留三个小时，期间与马拉佩举行会谈。马拉佩没有透露他们将讨论哪些问题。但他说，拜登还将会见太平洋岛国论坛的18位领导人，他们将于5月22日在莫尔兹比港参加印度洋-太平洋岛屿合作论坛。印度总理莫迪届时也将访问巴新。马拉佩说:“巴新已经准备好接待拜登和莫迪。”他说，巴新和太平洋地区不能再被忽视。“由于我们的森林和海域加在一起，我们拥有世界上最大的碳汇，以及最大的海域和空域。随着气候变化影响我们的生活方式和经济，我们的生存也面临着最大的威胁。”他还指出，“我有幸在纽约和华盛顿与拜登进行了一对一的会谈，两次我都邀请他访问巴新。我很荣幸他履行了访问我国的承诺。”巴新外长特卡琴科（Justin Tkatchenko）说，拜登将停留三个小时，会见太平洋岛国领导人。然后，他将举行双边会谈，并宣布一些重要消息。特卡琴科说:“从那里，他将前往澳大利亚，在那里他将会见印度、日本和澳大利亚的领导人。”这是美国总统首次访问这个太平洋岛国。特卡琴科指出，“这将在加强与美国的双边和外交关系以及加强太平洋地区方面发挥重要作用。”,,553,旅游,美国 巴布亚新几内亚 印度 日本 澳大利亚,巴新 拜登 太平洋 访问 美国 ,印度洋-太平洋岛屿合作论坛 联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=3&sn=14b60cacc7db316a11156e55668a8654&chksm=bef6db628981527442af6aa4ce4ec68bd02e94aae5264de8162778350c339389538834d1f530#rd,1683350860
",2023.5.7
4,与美国谈判“自由联系条约” 帕劳将获双倍援助,【南太之声编译报道】帕劳总统惠普斯（Surangel Whipps Jr）近日公布了根据该国与美国重新谈判的“自由联系条约”条款而制定的新经济方案的一些细节。新西兰RNZ5月1日报道，惠普斯说，美国承诺的总金额比最初提出的价格高出一倍多。在上周的国情咨文中，惠普斯表示，他们希望在下个月签署一项协议。据报道，惠普斯在国会表示:“我们预计在下个月将签署一项契约协议，承认帕劳人民作为一个主权国家的价值，以及我们为全球舞台带来的价值。”他说:“新协议包括在谈判的基础上继续提供援助的条款。这意味着至少在未来20年内，我们不必完全依赖信托基金。”一揽子计划包括每年500万美元用于基础设施建设，另外每年500万美元用于维护。美国还承诺提供为期六年的资金，每年1000万美元，用于偿还帕劳与新冠病毒有关的大部分贷款，并为契约信托基金提供1亿美元，以保持其（经济）增长。该契约的经济条款将于明年到期，但美国和帕劳的谈判代表同意提前一年更新这些条款。至于国家经济，惠普斯表达了对复苏的信心。“2022年，我们的表现比最初预期的要好，尽管旅游业没有像我们希望的那样迅速反弹。但我们对社区的需求做出了迅速的反应，让资金在社区中流动。”,,509,经济,美国 新西兰 帕劳,美国 帕劳 惠普斯 谈判 条款 ,信托基金 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=4&sn=4c05d5823b6b56ce71bf24a6c993892e&chksm=bef6db6289815274ee96cdb85656c252987509fda08e9840132765a9029dbfcd25750659a705#rd,1683350860
",2023.5.7
5,定了！第52届太平洋岛国论坛领导人会议日期和主题公布,图为第52届太平洋岛国论坛领导人会议（PIFLM52）的主题和召开日期确定。（图/太平洋岛屿新闻协会网站截图）【南太之声编译报道】库克群岛政府近日宣布，将于2023年11月6日至10日在拉罗汤加岛主办第52届太平洋岛国论坛领导人会议（PIFLM52），主题为“我们的声音，我们的选择，我们的太平洋之路：促进、合作、繁荣”。库克群岛政府官网5月2日报道，库克群岛总理布朗（Mark Brown）作为PIFLM52的主席和东道主，对即将举行的论坛表示兴奋，他说:“举办太平洋岛国论坛领导人会议对库克群岛和我们太平洋地区来说是一件重要的事情。”布朗指出，“我们一直在进行广泛的规划和咨询，以确保我们的主题能够激励和增强我们的领导人聚会，我们的主办安排和设施为我们的太平洋领导人和太平洋地区的合作伙伴的讨论提供了有利的环境。”他继续说：“我们的主题代表了太平洋民众的集体声音和愿望，强调了促进我们独特的太平洋之路，建立牢固的伙伴关系和推动我们地区繁荣的重要性。”为了促进与会者之间的沟通和协调，库克群岛政府通过外交和移民部作为PIFLM52的国家协调员，开发了一个专门的网站www.piflm52.com，其中将包含论坛的相关信息，包括关键日期、联系信息、新闻更新和后勤细节。PIFLM52的官方会徽以库克群岛的文化遗产和自然环境为特色，代表了太平洋地区的团结和多样性。PIFLM52举办日期的确定考虑了太平洋领导人已经定好的国际日程安排、往返库克群岛的航班以及住宿情况。,,632,旅游,库克群岛 拉罗汤加岛,太平洋 领导人 库克 群岛 论坛 ,太平洋岛国论坛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=5&sn=2419dcbcce60e1477162cd8bc702412a&chksm=bef6db6289815274aebacf75dfa7e312007c669c21b2e5d92c3d264cbcdc7849e408b36bae18#rd,1683350860
",2023.5.5
6,“暴风雨前的平静” 巴新移民部长被解职,【南太之声编译报道】巴布亚新几内亚移民部长克莱默（Bryan Kramer）5月1日被领导力法庭（Leadership Tribunal）解除了职务，该法庭正在调查对其不当行为的指控。澳大利亚《信使邮报》报道，他还被处以1万基那（约合2841美元）的罚款。他因两项诋毁司法机构的指控而被解雇，并被裁定五项申请公共投资计划（DSIP）资金罪名成立而被罚款。克莱默在一份声明中说:“根据法庭在2月21日对七项罪名的判决，5月1日的驳回判决是意料之中的。建议解职的决定将提交给议长，议长将建议总督采纳法庭的建议，将我解职。总督的决定将在公报发表并生效。届时，我将不再是国会议员。”声明中还提到，“当然，这并不是问题的结束，因为我已经在努力向国家法院提出上诉，对判决和处罚提出质疑，这个过程可能需要3到6个月的时间。如果在国家法院不成功，可以选择向最高法院上诉。有许多案例表明，法庭的判决在上级法院得到了审查和推翻。”声明中强调，“5月1日的决定绝不会削弱我打击腐败的决心，也不会阻止我向公众通报国家重大问题或揭露高层腐败。在我看来，这是暴风雨前的平静。”,,474,历史,巴布亚新几内亚 澳大利亚 美国,法庭 判决 法院 解职 5月 ,领导力法庭（LeadershipTribunal） DSIP（申请公共投资计划） 国家法院 最高法院,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=6&sn=16517c6b551fa9397858bc69d4b56bb5&chksm=bef6db62898152741a6919e2374360c5e69112cb7b9d358f6120ffd280cd74aa94f8666c9ab5#rd,1683350860
",2023.5.5
7,重振南太平洋巡航 首批游艇即将返回汤加,【南太之声编译报道】“重振南太平洋巡航”的南太平洋航行网络会议于4月26日至27日在新西兰奥克兰的奥拉姆海洋公园举行。会议的目标是与南太平洋游艇有关的海事当局、个人、组织和企业讨论如何在南太平洋边境重新开放的情况下建立一个有弹性的航运业。汤加matangi网5月1日报道，汤加旅游部首席执行官兼旅游局（TTAB）代理总经理塔考（Viliami Takau）与来自Vava'u船坞的凯撒（Joe Caesar）一起介绍了汤加游艇业的发展情况。约40名代表参加了会议，包括太平洋旅游组织、瓦努阿图旅游局、斐济、塔希提、新西兰、汤加旅游局、市场发展基金（MDF）和海关代表。塔考还参观了新西兰旺格雷和岛屿湾的游艇码头，以更好地了解太平洋游艇行业的性质及其对汤加复苏和经济发展的潜力。塔考说，“游艇行业包括超级游艇，并有潜力成为汤加最大的旅游收入之一，通过提供游艇、船只维护和船只储存等等。据估计，未来一年乘坐游艇入境的人数将远远超过疫情前。”汤加的参与是在市场发展基金的支持下实现的，该基金将通过资助汤加的第一个游艇战略来支持汤加的旅游业。汤加旅游局也正在就汤加的市场品牌化问题与市场发展基金进行最后的讨论，并有可能为其他旅游举措提供进一步的技术援助和支持。汤加正准备迎接边境重开以来的首次游艇拉力赛。首批游艇将于5月18日开始抵达，约有30艘游艇已确认（参与）。估计至少有100名（乘坐）游艇的游客将访问汤加。拉力赛将首先前往努库阿洛法，然后向北巡游到哈帕伊和瓦瓦乌。大多数游艇将在汤加停留近两个月，然后启航前往斐济。与此同时，汤加旅游局将举办欢迎活动，纪念自边境重开以来的首次游艇拉力赛。,,693,旅游,新西兰 瓦努阿图  塔希提 汤加,汤加 游艇 太平洋 旅游局 发展 ,南太平洋航行网络会议 瓦努阿图旅游局 斐济 塔希提 新西兰 汤加旅游局 市场发展基金（MDF） 海关,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=1&sn=4e3f19c2f0d2b1d1c8cc13dd047b5b45&chksm=bef6db0f898152194df82093330645f5686317c82f999607f9b5e5d9956b461acf1ae2d340f3#rd,1683278803
",2023.5.4
8,亚洲开发银行第56届年会开幕 宣布成立新气候融资基金,【南太之声编译报道】亚洲开发银行（ADB，以下简称亚开行）5月2日宣布成立亚洲及太平洋气候创新融资机制（IF-CAP），这是一个具有里程碑意义的项目，可以大大增加对该地区应对气候变化的支持。亚洲开发银行官网报道，亚开行行长浅川雅嗣在韩国仁川举行的第56届亚开行年会开幕当天宣布了这一消息。浅川说:“气候变化是我们这一生都需要面对的关键问题，在亚洲和太平洋地区，我们处于这场战斗的前线。过去12个月里，我们经历的气候事件的强度和频率只会增加，所以我们现在必须采取大胆的行动。IF-CAP是一个令人兴奋的创新项目，将产生真正的影响。这是亚开行作为亚太地区气候银行的又一个例子。”IF-CAP最初的合作伙伴是丹麦、日本、韩国、瑞典、英国和美国。这些合作伙伴正在与亚开行讨论，为项目准备提供一系列赠款，并为亚开行的部分主权贷款组合提供担保。担保带来的风险降低将使亚开行能够腾出资金，加快向气候项目发放新贷款。在“1美元进，5美元出”的模式下，最初的30亿美元担保目标可以为亚太地区急需的气候项目创造高达150亿美元的新贷款。气候融资的杠杆担保机制以前从未被多边开发银行采用过。IF-CAP融资将有助于亚开行实现2019-2030年从自有资源中筹集1000亿美元用于应对气候变化的目标。亚开行也正在与潜在的合作伙伴(如双边和多边来源、私营部门和慈善机构，包括全球人类和地球能源联盟)进行讨论，以促进气候投资。,,599,历史,丹麦 日本 韩国 瑞典 英国 美国,气候 亚洲 银行 开行 项目 ,亚洲开发银行 IF-CAP 全球人类和地球能源联盟,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=2&sn=6e6a0a8606053311f3dae36229981a3d&chksm=bef6db0f898152192b2e3d3e54b4a072c5f1583c8e765af6b27b24368ff4bd721f00cf705f89#rd,1683278803
",2023.5.4
9,巴新将在中国设立贸易委员会 总部选在上海,【南太之声编译报道】巴布亚新几内亚国际贸易和投资部长玛卢（Richard Maru）近日表示，中国将是巴布亚新几内亚设立贸易代表团的八个国家之一。巴新《国民报》5月4日报道，玛卢在政府决定建立国家贸易委员会服务之后做出了这一决定。他说:“我们的贸易代表将在外国使团内拥有自己的机构或独立办事处，或者任命巴新贸易专员和世界各地的名誉贸易专员。”玛卢表示，贸易专员的主要职责是为巴新商品寻找出口（市场），促进贸易和投资机会，特别是外国直接投资。“其中一个主要优先事项是吸引投资者投资我们的经济特区，以及与中国和印度尼西亚等国家的自由贸易谈判。”首批成立的8个贸易委员会包括：中国上海、澳大利亚布里斯班、泰国曼谷、印尼雅加达、欧盟总部所在地布鲁塞尔、阿联酋迪拜、菲律宾马尼拉和新加坡。玛卢补充说:“就优先事项而言，我们希望在上海建立第一个贸易委员会。这是我们的首要任务，因为中国现在提出购买我们所有的液化天然气和其他资源产品，以及鱼、原木和其他商品。”他指出，“中国有能力购买我们所有的商品，这一点在我们之间的多次讨论中都有表述。一些国有企业已表示有兴趣为一些贸易委员会提供资金。”玛卢还表示，国际贸易和投资部将很快发布广告，招聘所有8个贸易代表团的贸易专员职位。“该部门正在寻找素质非常高的巴新人，他们有丰富的商业背景，至少拥有硕士学位，有很强的学术背景和工作经验，能够与企业界合作，推动巴新的贸易议程，确保出口市场和吸引外国直接投资。”,,617,贸易,巴布亚新几内亚 中国 澳大利亚 泰国 印尼 欧盟 阿联酋 菲律宾 新加坡,贸易 中国 巴新 委员会 投资 ,巴新国际贸易和投资部,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=3&sn=b1f2a0d49b5bd8c60872949064d0daf6&chksm=bef6db0f898152190d2fc3e009e2edda1b6ea0256589672244da96b263119064d631fbea4e0d#rd,1683278803
",2023.5.3
