,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
40,“当地人讲当地事”：澳大利亚广播公司推出新节目 传播多维度太平洋岛国之声,【南太之声编译报道】澳大利亚广播公司（ABC）近日宣布了一个新的聚焦太平洋新闻和时事的电视节目“The Pacific”。该电视节目以太平洋国家当地记者报道的故事为特色，帮助太平洋岛民社区建立联系。澳大利亚广播公司网站6日报道，当Tahlea Aualiitia谈到主持“The Pacific”时，她的情绪非常激动。Aualitia在塔斯马尼亚州长大，拥有萨摩亚血统。她与太平洋岛民社区有着密切的联系。“The Pacific”让她感动的是，这个每周30分钟的节目正在太平洋和澳大利亚播出，并且是由对该地区有深入了解的团队制作，并以太平洋国家当地记者报道的故事为特色。“对我来说，这是一种代表性，我认为这非常重要，”她说，“很长一段时间以来，我觉得在澳大利亚和其他主流媒体上，太平洋岛民的存在感被低估了，他们的形象甚至是被歪曲的。考虑到地缘政治利益，人们更多地关注太平洋地区，但我希望这个节目能够突出太平洋地区的声音，去讲述他们的故事并改变叙事方式。”目前，Tahlea Aualitia正在为“The Pacific”第一集的播出做准备，她很想听听观众的反馈，当然还有来自萨摩亚的家人和朋友的反馈。此外，共同参与“The Pacific”节目制作的执行编辑Matt O'Sullivan表示，尽管澳大利亚广播公司几十年来一直在报道太平洋地区，但主要面向太平洋地区的观众。“一段时间以来，我们感觉到澳大利亚国内对太平洋的兴趣越来越大，澳大利亚也有大量太平洋族裔与该地区有着密切的联系。因此，我们觉得有必要更广泛地分享我们的内容。这个新节目将涵盖太平洋地区生活的广度，从政治到就业和经济、气候变化、文化和体育等多方面。”除了新内容和当地记者的参与外，澳大利亚广播公司国际服务部还在扩大传播范围，并加强该地区的媒体培训。,,759,文化,澳大利亚 塔斯马尼亚 萨摩亚,太平洋 澳大利亚 地区 节目 广播 ,ABC 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228648&idx=3&sn=ec37c7f930db5579fab4ee20121a8e83&chksm=bef6d85e898151486cec6a3acf050d9c5add676a784b88d5ff5bef1cadfb056500028401e9a0#rd,1681551865
",2023.4.8
42,萨摩亚音乐迈向主流圈？这位音乐人走出了第一步,【南太之声编译报道】一位太平洋岛民音乐艺术家的目标是将萨摩亚音乐带到主流音乐圈中。新西兰RNZ网站6日报道，艺名为“西部指南（The Western Guide）”的Aaron Pulemagafa说，新西兰音乐界缺乏太平洋双语歌曲，为此，在他对萨摩亚民谣的喜爱下，他创作了他的最新单曲《Siva Mai》。《Siva Mai》融合了萨摩亚语和英语歌词，以及非洲打击乐Afrobeat流派——一种源自尼日利亚的音乐风格。“我的目标是融合主流音乐和萨摩亚音乐，让那些不懂萨摩亚语或不听萨摩亚音乐的人更容易接受，”Pulemafaga表示。据悉，他于2021年发行的歌曲《Pe Moni Ea》就改编自一首古老的萨摩亚歌曲，并在YouTube上获得了数千次观看和许多积极评价。“当其他不是萨摩亚人的人谈到这首歌时，他们会说‘在音乐产业中听到萨摩亚音乐真的很酷’，”他说，“所以我的目标是确保能够通过我们的音乐让我们的文化或我们所拥有的语言保持活力。”,,423,文化,新西兰 尼日利亚,音乐 萨摩亚 目标 歌曲 报道 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228648&idx=5&sn=4775f07a1cd284e0eb0216badc38b485&chksm=bef6d85e898151481fa26267142620360827d4334a360e7eaa2983418678f539ed9258918b9a#rd,1681551865
",2023.4.6
43,带它都违法！帕劳将电子烟列入违禁品清单,【南太之声编译报道】帕劳总统惠普斯（Surangel Whipps Jr）曾于3月29日签署了一项“全面禁止进口、营销、销售和使用电子烟”的法律，近日他再次宣布，帕劳已将电子烟定为非法。新西兰RNZ网站4月4日报道，这项名为RPPL11-27的法律将《烟草控制法》的范围扩大到电子烟，并将在颁布60天后生效。这意味着从5月29日起，如果发现企业和个人持有电子烟产品，将被起诉。政府希望新法律能“保护公众健康”，尤其是年轻人的健康。被发现违法的个人可能面临1000美元的罚款，进口、分销或销售该产品的企业或个人或面临2万美元的罚款。最初的法案于去年7月在帕劳国民议会上提出。帕劳第一夫人、烟草联盟主席瓦莱丽·惠普斯（Valerie Whipps）表示，电子烟产品中含有影响年轻人大脑发育的化学物质，以及极易上瘾的尼古丁。“我认为这是一项很好的法律，”一名参加签署仪式的学生说。他说他没有使用过电子烟产品，但他知道有人使用过。他呼吁采取全政府、全社会的方式来执行新法律。“执法工作需要从边境开始，停止进口，并让社区成员协助向有关当局报告销售和消费违规行为。”,,477,文化,帕劳 新西兰 美国,电子 帕劳 法律 产品 进口 ,联合国 亚太经合组织 世界卫生组织 世界烟草控制联盟 国际烟草控制公约,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228648&idx=6&sn=1187636f0180fb7ecc293292ecd3bed3&chksm=bef6d85e89815148fb526e5e05b3ea54c991a5d2af1ce04b23701b2009da5ee6c7937156e348#rd,1681551865
",2023.4.5
44,巴新公布省级警察指挥官联系方式 民众有需求直接联络,【南太之声编译报道】巴布亚新几内亚警察局长曼宁（David Manning）近日表示，巴新皇家警察署（RPNGC）的处理家庭和性暴力部门（FSVU）今年将获得重大支持。巴新《国民报》4日报道，他说:“我们希望解决他们的流动性问题，为他们提供进一步的培训和支持，以增加他们在各省的人数，使他们有足够的能力履行职责。”曼宁说，他已经要求全国各地的省级警察指挥官们负责各自省份的FSVU工作。他表示，鼓励任何有家庭暴力和性暴力投诉的公民立即将诉求引起省级警察指挥官们注意。他说:“省级警察指挥官们已被指示将此作为他们直接负责和监督的一项活动。”曼宁还强调说，上周在报纸上公布了省级警察指挥官们的联系方式，部分原因是为了让公众知道该联系谁。他还指出，在提供新车方面，FSVU是优先考虑的领域之一。“我们有充足的预算来重新配备车辆，FSVU是我们希望尽快提供车辆的优先部门之一。”曼宁说，该部门已经有了一些车辆，但他们希望增加数量，以解决更多的暴力案件，并帮助全国各地的受影响者。,,435,文化,巴布亚新几内亚 新车,警察 省级 曼宁 FSVU 巴新 ,巴布亚新几内亚警察局,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228621&idx=1&sn=10010884d2d7325013d3224db7766763&chksm=bef6d87b8981516dc31da861120c3a0694774781d42bbd007b1c5eed1d193f8326bc0f387edc#rd,1681463399
",2023.4.5
48,百万新西兰资金援助到账瓦努阿图！重点关注粮食安全、健康和性别保护,【南太之声编译报道】3月29日，在瓦努阿图首都维拉港访问的新西兰外交部长马胡塔（Nanaia Mahuta）宣布了新的支持计划，即新西兰额外提供100万元（新西兰元，下同），以支持瓦努阿图在气旋后的恢复工作。新西兰1News报道，马胡塔说，这些资金将提供给服务社区的非政府组织（NGO），以“实现当地明确的优先事项”。这些优先领域将包括食品安全、健康和性别保护。她说，新西兰继续向其太平洋邻国提供持续的人道主义援助和支持。但最重要的是，资金的交付将通过当地非政府组织进行，优先事项的确定将由社区主导。访问期间，马胡塔还与瓦努阿图卫生部长马赫（Marco Mahe）一起为翻新的维拉港心灵关怀（Port Vila Mind Care）心理健康设施揭幕。该设施将有助于支持瓦努阿图原住民在连续发生气旋后的心理和精神健康需求。该项目是新西兰对2021年被热带气旋哈罗德（Harold）破坏的基础设施支持的一部分，耗资15.5万元。总部设在新西兰的心理健康支持组织Pasifika医疗协会（PMA）将在该设施里运作，以“在卫生领域向我们的太平洋邻国提供文化上适当的支持”，马胡塔说，“我们知道我们需要做得更多。”瓦努阿图唯一的精神病学家奥贝德（Jimmy Obed）说，提供高质量的精神服务一直是个挑战。他带领的小型心理健康团队在2014年开始工作时，没有能力和资源来照顾那些患有抑郁症和焦虑症等问题的瓦努阿图原住民。但随着社区意识的增强，特别是在新冠之后，更多的人开始主动寻求帮助，奥贝德说。“通常他们会跑去找一个传统的治疗师或路边的牧师，或者服用一些草药之类的东西。但我们已经开始看到一种转变。”他对新西兰资助的设施表示欢迎，他认为这将有助于解决与心理健康有关的“羞耻”问题。“随着（设施）翻新和有更多的空间，我认为这对我们的客户来说会更友好，并解决它的污名问题。”（力声编译）,,787,文化,新西兰 瓦努阿图,新西兰 瓦努阿图 健康 支持 设施 ,新西兰 瓦努阿图 联合国 亚太计划 Pasifika医疗协会 PortVilaMindCare,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228621&idx=6&sn=eb7c8d2b1f3c893bb75c7aa2c57e4728&chksm=bef6d87b8981516d0ae5985cf613b3232943efa18b59899dbefa14f1b9b487a63e61fecc60b0#rd,1681463399
",2023.4.2
68,假冒伪劣产品影响巴新本地就业？官方：外国参与者将被驱逐,【南太之声编译报道】Panamex Pacific（巴新）有限公司总经理伊勒曼（Erich Illemann）近日说，在巴新生产或进口到巴新的假冒产品削弱了当地人的就业和国内经济。巴新《国民报》20日报道，他说：“从事造假业务的外国人正在威胁着就业市场和当地人的福祉。”伊勒曼说这番话之前，警方和海关官员在莱城刚刚查获了268盒装在一个20英尺集装箱里的假冒Waswas牌肥皂，这些肥皂将于23日被运往西部高地的Mt Hagen。他说：“用当地生产的一些产品替代进口是帮助该国减少进口的方法。但不幸的是，许多境内公司开始在当地生产产品，并贴上巴新制造的标签。当我们开始对原材料和制成品征收进口税时，可能会影响巴新的制造业，从而导致其他相关影响。这是因为现在在国内生产这些巴新制造的产品的成本比在海外生产这些相同产品的成本要高很多。”他警告称，如果对从海外进口的原材料和其他制成品征收同样的进口税，那么国内制造业可能会下降。“随着假冒产品在国内生产或流通，这是一个严重的问题，现在必须得到充分解决，以保护国内民众的就业和其他方面不受影响。”莱城总警司库扬班（Chris Kunyanban）说，该市必须加强法律，以保护企业和民众的利益。他警告说，涉及假冒产品的外国人将被驱逐出境。（周晓编译）,,545,文化,巴新,产品 巴新 生产 国内 影响 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=2&sn=958e52b869180a94a0678a852c47947e&chksm=bef6d9e8898150fe95551b79de4e52e3a3f47d5d5c6416233007e1976f445f53bf27908ae2e8#rd,1680258645
",2023.3.22
107,瓦国季节性劳工教你在澳生活省钱小妙招,【南太之声编译报道】一位不愿透露姓名的瓦努阿图季节性劳工近日想与新求职者分享他的经验。这名劳工表示，“如果你听到过关于低工资的谣言，或者那些身无分文回家的工人声称他们的工资不高。这是不对的。”《瓦国日报》14日报道，他继续说：“对于那些在澳大利亚参加季节性劳工计划的人，我的建议是，工人要尽最大努力保持独立，以便在吃喝方面少花钱。不要受诱惑去酒吧或参加卡瓦活动或饮酒派对，因为它们会增加你的支出，让你带回家的钱更少。”他强调，“你应该已经和你的妻子或家人决定了为什么你想在澳大利亚工作。在澳大利亚期间，你不能因为同行的压力分散注意力而去参加社交活动。”他说，安排员工的收入直接打入他的银行账户是很重要的，这样他在回家的路上只需使用最低额度的现金。“如果你来自农村，我建议你尽早转移到你的村子。请不要花时间呆在维拉港，因为首都开销很高。”他呼吁所有新的季节性工作申请者在收入方面要精打细算。他总结道:“请善待你的同事，但首先要想想村里等着你的家人。”（周晓编译）,,430,文化,瓦努阿图 澳大利亚 瓦国,季节性 劳工 回家 澳大利亚 参加 ,瓦努阿图季节性劳工计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228253&idx=5&sn=42a9c21c6ebd62e3b9aa3043d95215c5&chksm=bef6deeb898157fd6f6ea471af2f9f38982d4dea518275015dc355d185877279f0f0b3f7f896#rd,1678408600
",2023.2.20
108,巴新副总理：将对不遵守当前最低工资标准的企业和雇主加大惩罚,【南太之声编译报道】巴布亚新几内亚副总理罗梭（John Rosso）本月10日表示，只有在企业和雇主遵守目前每小时3.5基那（约合0.99美元）的最低工资标准基础上，才能提高最低工资。巴新《国民报》报道，罗梭当日在莫尔斯比港以劳工部长的身份说，许多公司没有遵守有关工人最低工资的法律。“法律规定最低工资是3.5基那。是的，我们愿意把最低工资提高到4.5基那（约合1.28美元）；但首先我们需要确保遵守。”他补充说，未能支付最低工资的公司将被罚款。根据1978年的《雇佣法》，目前对未支付或扣留工资的罚款是500基那（约合142.13美元）。随着劳工部正在审查和修订该法案，罗梭表示，希望能大幅提高处罚金额。他指出，如果员工没有得到最低工资，他们有制度可以投诉，但对公司的惩罚还不够。“部长正在考虑修改处罚，之后将强制执行。所以他正在建立一个团队，从而在莫尔斯比港，然后在莱城和其他一些地方开展工作，使（公司）符合规定。”据报道，去年11月，罗梭曾表示，该国70%的雇主支付给工人的工资低于最低工资标准。据了解，一个新的最低工资委员会将成立，旨在审查最低工资标准的遵守情况。（周晓编译）,,492,文化,巴布亚新几内亚 美国,工资 最低 遵守 标准 罗梭 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228220&idx=1&sn=aa6e88dfa34206cbc81ca178a1dbbcef&chksm=bef6de8a8981579cfb8b61f2ad448fbc0e78efc3a21b88c7dcc46d221699102c41368ff5a8b9#rd,1677961025
",2023.2.18
144,为36名当地人义诊 中国援助瓦努阿图医疗队获暖心感谢,【南太之声编译报道】《瓦国日报》14日消息，经过一个月的精心准备，在2022年12月27日至31日期间，第一批中国援助瓦努阿图医疗队赴该国南部岛屿塔纳岛（Tanna）提供免费医疗服务。塔纳岛距离首都维拉港近300公里，交通不便，经济明显落后，医疗条件极差。3万人口的岛上只有一所医院，拥有不到20张病床、一间手术室和两名医生。医疗条件落后，岛内居民就医困难。如果他们想要获得相对较好的医疗服务，他们需要坐一个小时的飞机到维拉港就医。为使义诊活动顺利开展，中国医疗组全体成员提出了建议，做好了充分准备。当地华人和塔纳岛中资机构也给予了大力支持，Lenakel医院院长为患者提前预约手术。医疗队通过多种渠道了解当地常见病的多发病情况，如呼吸道感染、哮喘、慢性咳嗽、心脏病、高血压、外伤、皮肤病等，并提前准备了相应的药物和材料。团队还明确了出发前的分工、义诊流程、工作和生活注意事项。中国医疗队为36名当地居民提供了诊疗服务，成功完成7例手术，并为医院、中资机构和偏远村庄运送了药品和物资。当地居民对中国政府和医疗队队长李凯（Li Kai）表示衷心感谢。他们表示，医疗队除了在维拉中心医院承担医疗服务、医学教育等任务外，还深入基层和偏远地区，了解当地卫生状况，积极探索临床与公共卫生相结合，为改善瓦努阿图民众健康作出贡献。据悉，2022年是中国和瓦努阿图建交40周年。医疗援助是中瓦务实合作项目之一。（萨琳编译）,,603,文化,中国 瓦努阿图,中国 医疗队 医疗 当地 瓦努阿图 ,中国援助瓦努阿图医疗队,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228006&idx=2&sn=f3abf43a0bf3c60bb76de47588dd1463&chksm=bef6dfd0898156c67be765627c6602b8e8644a23637698292e3aa5f9b194bb6cc016077d00b6#rd,1676076899
",2023.1.24
148,警惕骗局！巴新南太平洋银行没有简单贷款计划,【南太之声编译报道】巴新南太平洋银行（BSP）金融集团有限公司代理首席执行官达亚尔（Ronesh Dayal）近日表示，骗子们利用在线社交媒体平台吸引毫无戒心的客户进行简单的贷款计划，提醒民众注意。巴新《国民报》13日报道，达亚尔说，在这些贷款计划中，骗子会向让客户向他们的账户直接支付费用，而不是对资金进行分配。骗子有时还会使用BSP等商业银行的标志和高管的网上照片，使其页面看起来真实。“个人和骗子可以在没有‘脸书’（Facebook）等社交媒体提供商验证的情况下创建社交媒体账户和页面。全球有超过40亿个社交媒体页面，要追踪每个页面，以限制骗子和网络犯罪分子创建虚假页面来吸引不知情的客户，这几乎是不可能的。如果人们向BSP报告了虚假页面，我们会主动联系社交媒体提供商，并报告这些虚假页面，以将该页面下架。此外，这些假页面大多是用假身份创建的，因此起诉骗子极具挑战性。”达亚尔还表示，“BSP没有与任何人或任何其他金融机构就此类计划进行此类安排。BSP通过官方渠道提供贷款和其他产品，在处理贷款申请和将资金分配到客户账户时遵循正当程序。”他提醒客户要警惕不熟悉的社交媒体页面上的这种赚钱计划。任何有疑问的人都可以通过官方网页(www.bsp.com.pg)联系该银行，也可以发送电子邮件至servicebsp@bsp.com.pg，或致电BSP联络中心3201212、70301212。（萨琳编译）,,602,文化,巴新 南太,页面 BSP 社交 媒体 贷款 ,巴新南太平洋银行,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227976&idx=1&sn=328615a249dfd50019b191149a8d3727&chksm=bef6dffe898156e8b31e1cb42e5a7f43aea9580eb2af7c95595190a46ed5490ec7ed89a42c67#rd,1676018094
",2023.1.20
