,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
16,儿童要小心！世卫组织称在岛国发现印度“死亡糖浆”,【南太之声编译报道】世界卫生组织（WHO）25日表示，在马绍尔群岛和密克罗尼西亚发现了一家印度公司生产的受污染的止咳糖浆。去年，一些国家发生了一系列与类似糖浆有关的儿童死亡事件。路透社报道，世卫组织的声明中没有说明马绍尔群岛或密克罗尼西亚是否有儿童患病，但表示，一批进口止咳糖浆（产品名称为Guaifenesin syrup TG syrup）的样品被污染，含有过量的二甘醇和乙二醇，这两种物质在食用后对人体有毒，可能会致命。世卫组织称，这些药品的制造商是位于印度旁遮普邦北部的QP Pharmachem有限公司，该产品的销售商是邻近的哈里亚纳邦的Trillium Pharma。在4月6日收到报告后，世卫组织对可疑批次的样品进行了分析。QP Pharmachem总经理25日说，该公司获得了印度政府的许可，只向柬埔寨出口了1.8万瓶糖浆。他说，这些糖浆也在印度销售，并补充说，到目前为止还没有收到投诉。世卫组织在声明中表示，QP Pharmachem和Trillium都没有就这些产品的安全性和质量向世卫组织提供保证。今年1月，世卫组织呼吁立即采取行动，保护儿童免受污染药品的侵害，去年发生了一系列与咳嗽糖浆有关的儿童死亡事件。2022年，冈比亚、印度尼西亚和乌兹别克斯坦有300多名儿童(主要是5岁以下)死于急性肾脏损伤，死因均与受污染的药品有关。（周晓编译）,,582,教育,印度 马绍尔群岛 密克罗尼西亚 柬埔寨 哈里亚纳邦 冈比亚 印度尼西亚 乌兹别克斯坦,组织 世卫 糖浆 儿童 印度 ,世界卫生组织（WHO）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=5&sn=b29909588a286960630a6e06b2f41138&chksm=bef6db248981523269eef803e1a152915cee32a69ac71eed707120094bdcd4c0e90df45c75d1#rd,1682890995
",2023.4.29
52,什么是非传染性疾病？看看所国这面墙上的涂鸦就懂了,【南太之声编译报道】来自所罗门群岛霍尼亚拉三所中学选出的20名创意艺术学生参加了为期三天的工作坊，学习如何通过壁画和涂鸦艺术提高人们的意识。《所罗门星报》3月21日报道，本次工作坊是南太平洋共同体“唤醒项目”的一部分。参加者来自Saint Nicholas、Mbua Valley、Coronation and Koloale中学。组织者表示，作为工作坊的一部分，参与者将了解非传染性疾病，以及如何通过艺术提高民众对非传染性疾病的认识。司杜温欣（Si Thu Win Thin，音译）博士和南太平洋社区的其他代表在本地艺术家Lloyd Newton的支持下举办了此次工作坊，帮助参与的学生通过艺术来传达非传染性疾病的信息。随后，学生们创作了一幅以“健康太平洋”为主题的壁画。所罗门卫生和医疗服务部非传染性疾病小组负责人拉桑戈（Nevalyn Laesango）表示，这面墙描绘了一种不健康的生活方式，驶向健康饮食和健康太平洋的未来。拉桑戈说:“这些年轻人自己提出了这个概念，后来将他们的艺术天赋演绎成美丽、多彩和有意义的艺术，展示了关于非传染性疾病的深刻信息。我对这些年轻人展现出的才华、迸发的创造力和团队精神感到惊讶。”她指出，非传染性疾病是所罗门群岛民众面临的主要致命疾病之一，每个人都必须养成健康的饮食习惯，过健康的生活。工作坊于3月14日至3月16日举行。（周晓编译）,,588,教育,所罗门群岛 南太平洋,疾病 传染性 艺术 健康 工作坊 ,南太平洋共同体,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228581&idx=4&sn=901eefd6a60656df50d5f071693822d5&chksm=bef6d81389815105a329c21ca35f0b4b2ac89e68e39828487aab38c28ecf289675040c110e29#rd,1680935078
",2023.3.30
117,服务改善拨款翻倍！巴新总理指明未来五年发展计划,【南太之声编译报道】巴布亚新几内亚总理马拉佩（James Marape）6日表示，政府计划在未来五年内向每个地区拨款1亿基那（约合2872.16万美元）。巴新《国民报》报道，马拉佩说:“未来五年，全国每个地区都将得到政府提供的1亿基那的资金，用于发展地区和改善民众生活。”另外，他还说，每年地区服务改善计划的资金将从1000万基那（约合287.22万美元）增加到2000万基那（约合574.43万美元）。他告诉人们，如果所在的地区在未来五年没有实质性的发展，民众应该与他们的议员和地区行政人员核实。他说:“每年增加的2000万基那是给各地区的，并将为省政府或省长的省级服务改进计划(PSIP)制定单独拨款。”此外，Kerowagi议员弗朗西斯（Kikin Francis）为各种道路升级和封路项目、教师工资发放、一公里半径内的免费互联网WiFi服务、30所小学的电子学习和中学教师的平板电脑分配了资金。马拉佩说，这些项目对Kerowagi的发展很重要。（周晓编译）,,432,教育,巴布亚新几内亚,地区 服务 未来 发展 计划 ,PSIP,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228186&idx=4&sn=f0f02cc4c56b637f4bf28fd985f8b68f&chksm=bef6deac898157ba8bec51846558a5b7839eb952b62843427b57fbd0182bf1b4f09209fc89fb#rd,1677831532
",2023.2.10
134,汤加王储为汤加国立大学揭牌,【南太之声编译报道】1月20日，汤加王储乌库卡拉拉（Tupouto'A'Ulukalala）在帕胡为汤加国立大学（TNU）揭牌。期间，王储作为主宾，为学校的牌匾、广告牌揭幕，并启动了学校网站。汤加Matangi新闻网21日报道，汤加首相胡阿卡瓦梅利库（Hu'akavameiliku）在感谢王储时表示，图普六世国王已同意担任该大学校长。据悉，汤加国立大学是根据《汤加国立大学法》的法律授权成立的，政府依法有义务确保建立和谨慎管理汤加国立大学。他说，六所政府拥有的高等教育机构合并成立了汤加国立大学，这是一所兼有学术和职业研究项目的综合大学。“当我们应对后疫情时期的财务挑战时，政府为高等教育提供具有成本效益的选择是我们支持年轻一代技能提升和职业发展的重要承诺。”汤加国立大学由五个学院组成，提供涉及从证书到文凭和学位的50多门课程。胡阿卡瓦梅利库表示，（学校）是一个学习的地方，“并与家人、社会网络和支持保持密切联系，同时为社区作出贡献，维持我们本地的经济和劳动力”。（力声编译）,,440,教育,汤加 帕胡,汤加 大学 国立 王储 学校 ,汤加国立大学,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228083&idx=5&sn=0584d376fa75538c616d4757324dd33b&chksm=bef6de0589815713e1d5da4eb69d55ed70e0b7b2ae290920c54e75ec73e2658b4190ceccb937#rd,1676838242
",2023.2.1
159,中国功夫练起来！援所中国警察再为所皇家警卫子女开展培训,图为培训现场。（图/《所罗门星报》网站截图）【南太之声编译报道】中国赴所警务顾问组（CPLT）于2023年1月2日至6日在罗夫警察战术训练中心为31名（所罗门群岛皇家警察部队，RSIPF）人员的子女进行了为期一周的武术训练。《所罗门星报》10日报道，警察部门支援处监督助理处长马纳皮（Richard Menapi）在闭幕式上致辞时说:“我对这群孩子的表现感到惊讶，这表明CPLT的训练成果很完美。”家长们对中国警察在整个培训过程中的专业、热情和耐心表示钦佩。马纳皮说：“中国警方正在为我们的孩子进行武术训练，通过去年RSIPF和中国警方的合作进一步加强了我们的关系和友谊。”所国家预防犯罪局（NCPD）局长马塔马鲁（John Matamaru）对中国赴所罗门群岛警务顾问组组长张广保（Zhang Guangbao）和中国教官的培训表示感谢。马塔马鲁表示，“有必要通过武术训练来提高孩子们的意识和能力，以增强他们在任何情况下自我保护的信心。通过这几天的观察，我看到了他们的成长和进步。”中国教官王虎（Wang Hu，音译）说，这次培训内容专门为儿童设计，融合了中国武术中的风险识别、自卫、逃脱和反击技术。王虎说：“孩子们参加培训的积极性很高，而且很有天赋。”RSIPF对中国赴所警务顾问组的培训表示感谢，并期待在未来更多的培训中与该团队密切合作。（周晓编译）,,578,教育,中国 所罗门群岛,中国 培训 警察 训练 所罗门 ,中国赴所警务顾问组（CPLT） 所罗门群岛皇家警察部队（RSIPF） 所国家预防犯罪局（NCPD）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227931&idx=5&sn=d75064537f8d4b6e496577386cfd74e8&chksm=bef6dfad898156bb4b6c4f227d654306ade8c2d1ec99d90198699d88e5e0675d0224f2eb84be#rd,1675471389
",2023.1.10
177,太平洋岛国青少年橄榄球教练赴美国进修技能,来自斐济、汤加和基里巴斯的13名青少年橄榄球教练近日参加了美国国务院赞助的体育访问项目，目的是提高他们的教练技能。汤加Matangi新闻网22日报道，从12月3日至18日，他们参加了会议，与美国教练同行见面，并参加了专门的工作坊会议，以提高他们的导师关系和青年发展技能。他们学会了如何使用教练技能来帮助学生和球员在日常生活中解决冲突、进行社区服务和获得优秀学业。他们还享受了各种各样的美国文化体验，包括观看职业篮球和曲棍球比赛，参观休斯顿的美国宇航局航天中心，并尝试了各种地方美食。美国驻苏瓦大使馆副公共事务官员罗明（Will Romin）表示，随着太平洋地区的年轻人在两年的线上学习后重返教室，他们生活中的成年导师帮助他们重新获得在疫情期间失去的社交和情感工具非常重要。他说：“学校教练是对中学生有影响力的人物，这个项目帮助教练把他们的球员培养成球场上的冠军和社区的领导者。体育访客项目是美国大使馆展示我们致力于建设一个健康、有活力、受教育的太平洋地区的一种方式。”（萨琳编译）,,440,教育, 汤加 基里巴斯 美国,教练 美国 技能 太平洋 参加 ,美国国务院,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227804&idx=2&sn=44894c5f8a0a11c0eaa65423d932f50a&chksm=bef6df2a8981563c67d878932034d94aa64748aa20c838d60f62ede5bc05402dd037843a5c72#rd,1674279131
",2022.12.24
200,国际贸易门户正在打造中 所罗门展开新世纪设想,所罗门群岛肖特兰群岛（Shortlands）近日将成为一个经济和关税联盟的国际贸易门户，该联盟将在2032年之前整合布干维尔、西部和舒瓦瑟尔省（Choiseul provinces）的贸易和劳动力流动。《所罗门星报》8日报道，所罗门群岛国立大学副校长阿括罗（Transform Aqorau）在霍尼亚拉FOPA村西部省第二指定日（Western Province Second Appointed Day ）期间强调了这一点。阿括罗说，根据设想，这个关税和经济联盟最终将整合所罗门群岛的其他地区。此外，他说，蒙达（Munda）不仅是舒瓦瑟尔省和西部省份的人进入澳大利亚的门户，而且可能是布干维尔人前往澳大利亚和世界其他地方的路线（中转地）。我还设想，我们将有经济特区，支持创新举措，作为我们年轻人的创业中心，与来自硅谷的投资者合作，他们与国立大学的研究人员一起，可以为我们将面临的许多健康、可持续发展和气候挑战找到解决方案。”他还指出，“我们也不能忘记继续投资于我国的人力资源，以拥有全球就业技能，以便与其他岛屿集团一起，就可以推动我们的国家进入22世纪。”,,479,教育,所罗门群岛 澳大利亚 硅谷,所罗门 群岛 贸易 门户 设想 ,答联合国 亚太计划 所罗门群岛肖特兰群岛经济和关税联盟,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227700&idx=5&sn=afe13097faa02efcb867a04bce84c38b&chksm=bef6dc8289815594847a7d73d184b92575d67e0c7fdcb608a4df832cfa2f34c9d7e93d5271d8#rd,1673601717
",2022.12.12
206,更准确、可靠和及时的气候信息帮助瓦努阿图农民,农业是瓦努阿图最重要的部门之一，但也是最容易受到气候变化影响的部门之一，为瓦努阿图农民提供能够准确评估当地天气和气候条件如何影响其作物的新工具，是解决这一问题的关键途径。为此，瓦努阿图农业信息中心（VanKIRAP）正通过与位于韩国釜山的亚太经合组织气候中心（APCC）合作，扩大农民可获得的“农业气候”服务范围。《瓦国日报》12月10日报道，在未来的一年里，该合作项目将发布新的工具，如作物产量模拟器和用于选择作物及种植品种、灌溉和病虫害控制方法、化肥用量的决策支持工具。APCC还在瓦努阿图气象和地质灾害部的早期极端天气预警基础上，为可能影响农业的极端事件开发早期预警系统。为支持这项工作，APCC执行主任申道湜（Do-Shick Shin）率领一个代表团正在瓦努阿图访问，考察APCC和VanKIRAP在实地开展的联合农业气候风险管理倡议，并讨论APCC与瓦努阿图政府在农业气候服务领域的进一步合作。瓦努阿图农业部长纳图曼（Nako Natuman）在正式讲话中感谢APCC对瓦努阿图农业和农村发展部、瓦努阿图气象和地质灾害部的持续支持。他指出，APCC与VanKIRAP的伙伴关系“与瓦努阿图的优先事项高度相关”，并与瓦努阿图的国家可持续发展计划、农业部门政策和气候服务框架保持一致。（萨琳编译）,,552,教育,瓦努阿图 韩国 ,瓦努阿图 气候 农业 APCC 农民 ,亚太经合组织气候中心（APCC）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=2&sn=8c6d1466bb784d80ece844c363096d7e&chksm=bef6dc4e898155584bf78849ecb9f9113fccbf2f29d262b428c5b821462cac50c51db7fbeb3c#rd,1672998042
",2022.12.9
219,太平洋岛国联合发起新倡议 提高地区教育水平,太平洋地区全纳教育评估（The Pacific Regional Inclusive Education Review）于近期启动，每个国家都在社区团体、非政府组织和利益相关者的协助下进行了自己的全国调查。15个太平洋岛国已对此发起一项提高教育水平的新倡议。新西兰RNZ网站8日报道，库克群岛、密克罗尼西亚联邦、斐济、基里巴斯、瑙鲁、纽埃、帕劳、巴布亚新几内亚、马绍尔群岛、萨摩亚、所罗门群岛、托克劳、汤加、图瓦卢和瓦努阿图均签署了该倡议。据悉，太平洋残疾人论坛是完成这项评估调查的众多协作网络之一，在21个国家设有分支机构。主要目标是确保儿童，包括残疾儿童，获取高质量的学习机会。这项评估由联合国儿童基金会太平洋地区和太平洋区域全纳教育工作组共同进行。联合国儿童基金会太平洋地区教育项目负责人斯米比（Anna Smeby）表示，太平洋地区全纳教育面临的最大挑战是教育机会有限和儿童生活条件差。联合国儿童基金会太平洋地区副代表巴苏（Roshni Basu）说，各国迫切需要将评估报告的建议纳入其政策。“联合国儿童基金会致力于确保我们太平洋沿岸的所有儿童都能享受包容的、当然还有高质量的教育。我敦促所有国家最大限度地努力和承诺，将评估结果转化为对全纳教育的具体投资。”（罗伊编译）,,539,教育,库克群岛 密克罗尼西亚联邦  基里巴斯 瑙鲁 纽埃 帕劳 巴布亚新几内亚 马绍尔群岛 萨摩亚 所罗门群岛 托克劳 汤加 图瓦卢和瓦努阿图,太平洋 教育 儿童 地区 评估 ,联合国儿童基金会太平洋地区 太平洋区域全纳教育工作组 太平洋残疾人论坛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=1&sn=1cc91d377cf1f97085208dd0ae30715a&chksm=bef6dc3f89815529474b309e3db6625b416a9816afe689c82fe2c6f3af482c42028ec6700c83#rd,1672389775
",2022.12.6
242,岛国学生发声：从沙姆沙伊赫到纽约，气候正义是我们想要的,近日在近200个国家参与的全球峰会上，南太平洋岛国瓦努阿图要求世界最高法院在保护人们免受气候变化影响方面采取立场的运动获得了近一半国家的支持。太平洋岛屿新闻协会网21日援引英国路透社报道，当日，包括已经支持该倡议的核心国家在内的86个国家对一项决议表示支持，该决议要求国际法院澄清各国政府在保护本国民众和其他民众方面的义务。在埃及召开的2022年联合国气候变化大会第27次缔约方会议（COP27）22日结束后，瓦努阿图及其支持者如果在12月中旬的联合国大会上赢得计划中的投票，他们将向法院提交一项法律问题进行敲定。法院的咨询意见在任何司法管辖区都不具有约束力，但可以明确各国在气候变化方面的财政义务，并将其定义为人权问题，为未来的气候谈判奠定基础。这项决议的想法来自一群太平洋岛屿的法律系学生，他们与当地政府领导人一起支持这一想法，并将这一运动从太平洋地区带到总部位于纽约的联合国，又带到在沙姆沙伊赫举行的气候峰会上。26岁的斐济法律系学生普拉萨德（Vishal Prasad）是早期运动的参与者之一。他说:“我们来到这里，真的是为了给这项运动做最后的推动。联合国气候大会提供了一个最好的机会，可以向世界各国领导人和在座的每一个人真正展示我们的情况。”在COP27会议期间，普拉萨德和太平洋岛屿的活动家们在会外活动和与部长们的会谈中，与来自全球各地的活动家们一起提出他们的主张。斐济活动人士图伊科罗（Ulaisi Tuikoro）聚集在所有代表通过的安全门外高喊：“从沙姆沙伊赫到纽约。气候正义是我们想要的。”来自所罗门群岛的另一名太平洋岛国法律专业学生所罗门?杨（Solomon Yeo）表示，国际法院的意见将向那些在气候谈判中犹豫是否采取果断行动的政府发出一个明确的信号。（周晓编译）,,744,教育,瓦努阿图 英国 埃及  纽约 沙姆沙伊赫 所罗门群岛,气候 太平洋 法院 学生 国家 ,联合国气候变化大会亚太计划联合国国际法院COP27,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=8&sn=b1abf9de6ce79547cbce903b4ba4da1c&chksm=bef6ddfe898154e851297001b70a3fb8d32afb5c51ee405294cd460b454bebf06b29d43a39bf#rd,1671785289
",2022.11.25
