,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
0,首次由女性担任！瓦国这次的驻苏瓦高级专员很特别,图为瓦努阿图驻斐济高级委员会第一秘书布朗（Viran Brown）3日被任命为高级专员。（图/《瓦国日报》网站截图）【南太之声编译报道】瓦努阿图女性地位继续在各个领域获得提升，瓦努阿图驻斐济高级委员会第一秘书布朗（Viran Brown）3日被任命为高级专员，使她成为第一位被指派担任这一高级职位的女性。《瓦国日报》报道，在瓦努阿图外长对她进行任命之后，总统武罗巴拉武（Nikenike Vurobaravu）当日也对其进行了委任。外长纳帕特（Jotham Napat）和外交部总干事卡罗里斯（Kalfau Kaloris）都认为对她的任命是女性参与和领导公共生活方面的一项成就。卡罗里斯证实，布朗是独立以来第一位被任命为高级专员的女性。布朗将在政府的外交政策中发挥重要作用。她将处理与瓦努阿图有关的外交事务以及居住在斐济的瓦努阿图公民的利益和福利。纳帕特鼓励其他女性像布朗一样申请担任外交使团的职位。布朗说，她很荣幸被任命为代表瓦努阿图所有女性的专业职务。自去年8月前高级专员离职后，布朗作为瓦努阿图驻斐济代理高级专员一直履行职责。她于2020年至2023年在苏瓦担任瓦努阿图高级委员会第一秘书。,,499,历史,瓦努阿图  苏瓦,高级 瓦努阿图 女性 布朗 专员 ,答瓦努阿图高级委员会 苏瓦高级专员,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228885&idx=1&sn=ee2e479734457606735f77468351764d&chksm=bef6db63898152753f3e5c3f069a21492caded892fc4f2b5ff4da1e7de73c7682dc3d90bbf5a#rd,1683447860
",2023.5.7
1,拒绝日本海上安全合作提议 所国：先处理核污水排海问题,【南太之声编译报道】日本政府近日已表示准备在海上安全领域与所罗门群岛合作。据悉，所罗门群岛拒绝了这一提议，指出福岛核电站核污水排海是其首要关切，而不是海上安全合作。《所罗门星报》5月2日报道，消息人士表示，日本外相在本月早些时候访问霍尼亚拉期间讨论了日本对海上安全合作的兴趣。“日本一直在积极推动与所罗门群岛的海上安全合作。他们不断提出派遣一名海上安全政策顾问，支持所罗门群岛皇家警察部队（RSIPF）制定海上安全战略。”一名知情人士表示:“他们（日本）甚至试图通过加强‘太平洋岛国海上执法机构有效打击海上犯罪的能力项目’（这是联合国一个多边海上安全项目）参与我们的海上安全事务。但我们没有接受他们的提议，因为我们希望他们在讨论海上安全合作之前先处理福岛核污水的倾倒问题。我们生活在海洋上。日本也是一个岛国，他们应该更清楚一个安全和清洁的海洋对太平洋岛国的重要性。尽管日本一直强调海上安全的重要性，但他们仍然决定将放射性核污水倾倒入海洋，这严重损害了所罗门群岛和整个太平洋地区的安全利益。”该知情人士还表示：“日本大使馆还几次绕过外交部，直接向RSIPF提交了会议申请。这种行为表明，他们根本不尊重我国政府。他们的言行总是不一致。当捐助国试图干预我们在海上安全领域的治理时，我们感到很不舒服。”该知情人士指出，“希望日本政府能认识到，倾倒核污水是我们关注的问题之一，也是我们的底线之一。如果他们想与我们进行双边合作，他们应该首先处理这个问题。”,,622,历史,日本 所罗门群岛,海上 安全 日本 合作 所罗门 ,联合国 太平洋岛国海上执法机构有效打击海上犯罪的能力项目,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=1&sn=d8bf20795e9acae8e9b88f460d4df242&chksm=bef6db62898152748d4c4badd9d33d595ab38a777dae11a3009a5dade27a612976bc7485695a#rd,1683350860
",2023.5.7
2,法属波利尼西亚大选落幕 支持独立党派首次获胜,【南太之声编译报道】根据法属波利尼西亚5月1日公布的选举结果显示，支持独立的政党赢得了选举，获得了未来5年对该群岛事务的管理权，并为可能就其地位进行的公投开辟道路。法新社5月2日报道，在4月30日举行的第二轮选举中，由海外领土前领袖特马鲁（Oscar Temaru）领导的人民公仆党（Tavini Huiraatira）赢得了44.3%的选票，将在地区议会中获得绝对多数。目前预计该党派将提名53岁的布罗泽森（Moetai Brotherson）领导地区政府。这一结果将使支持独立的势力寻求推动法国当局举行公投。“我们不会在明天或下周就独立，”布罗泽森表示，“我与（法国）政府合作没有问题，这一点明天也不会改变。”负责海外领土事务的法国内政部长达尔马宁（Gerald Darmanin）说，波利尼西亚人“投票支持变革”，法国政府承认他们的“民主选择”。但这一结果对法国总统马克龙（Emmanuel Macron）领导的政府来说是一个打击。由于法国拥有战略性的海外领土，马克龙政府试图将法国塑造成太平洋地区的一个大国。法国一直拒绝就法属波利尼西亚的地位举行全民公决。在其另一个主要的太平洋领土新喀里多尼亚的公民投票中，独立一再遭到拒绝。这是支持独立的势力首次以绝对多数统治法属波利尼西亚，此前他们曾被迫结成脆弱的联盟。法属波利尼西亚是法国横跨加勒比海和太平洋的几个海外领地之一，其在全球的足迹是任何其他欧洲国家都无法比拟的。,,611,历史,法国 新喀里多尼亚,法国 独立 法属波利尼西亚 支持 政府 ,联合国 亚太计划 加勒比海,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=2&sn=cb2ec9eae6460741ae8cf580be596970&chksm=bef6db6289815274f690f1371a849032dab5961f773fa33a27c68ed3fe32ef431e127b669977#rd,1683350860
",2023.5.7
6,“暴风雨前的平静” 巴新移民部长被解职,【南太之声编译报道】巴布亚新几内亚移民部长克莱默（Bryan Kramer）5月1日被领导力法庭（Leadership Tribunal）解除了职务，该法庭正在调查对其不当行为的指控。澳大利亚《信使邮报》报道，他还被处以1万基那（约合2841美元）的罚款。他因两项诋毁司法机构的指控而被解雇，并被裁定五项申请公共投资计划（DSIP）资金罪名成立而被罚款。克莱默在一份声明中说:“根据法庭在2月21日对七项罪名的判决，5月1日的驳回判决是意料之中的。建议解职的决定将提交给议长，议长将建议总督采纳法庭的建议，将我解职。总督的决定将在公报发表并生效。届时，我将不再是国会议员。”声明中还提到，“当然，这并不是问题的结束，因为我已经在努力向国家法院提出上诉，对判决和处罚提出质疑，这个过程可能需要3到6个月的时间。如果在国家法院不成功，可以选择向最高法院上诉。有许多案例表明，法庭的判决在上级法院得到了审查和推翻。”声明中强调，“5月1日的决定绝不会削弱我打击腐败的决心，也不会阻止我向公众通报国家重大问题或揭露高层腐败。在我看来，这是暴风雨前的平静。”,,474,历史,巴布亚新几内亚 澳大利亚 美国,法庭 判决 法院 解职 5月 ,领导力法庭（LeadershipTribunal） DSIP（申请公共投资计划） 国家法院 最高法院,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=6&sn=16517c6b551fa9397858bc69d4b56bb5&chksm=bef6db62898152741a6919e2374360c5e69112cb7b9d358f6120ffd280cd74aa94f8666c9ab5#rd,1683350860
",2023.5.5
8,亚洲开发银行第56届年会开幕 宣布成立新气候融资基金,【南太之声编译报道】亚洲开发银行（ADB，以下简称亚开行）5月2日宣布成立亚洲及太平洋气候创新融资机制（IF-CAP），这是一个具有里程碑意义的项目，可以大大增加对该地区应对气候变化的支持。亚洲开发银行官网报道，亚开行行长浅川雅嗣在韩国仁川举行的第56届亚开行年会开幕当天宣布了这一消息。浅川说:“气候变化是我们这一生都需要面对的关键问题，在亚洲和太平洋地区，我们处于这场战斗的前线。过去12个月里，我们经历的气候事件的强度和频率只会增加，所以我们现在必须采取大胆的行动。IF-CAP是一个令人兴奋的创新项目，将产生真正的影响。这是亚开行作为亚太地区气候银行的又一个例子。”IF-CAP最初的合作伙伴是丹麦、日本、韩国、瑞典、英国和美国。这些合作伙伴正在与亚开行讨论，为项目准备提供一系列赠款，并为亚开行的部分主权贷款组合提供担保。担保带来的风险降低将使亚开行能够腾出资金，加快向气候项目发放新贷款。在“1美元进，5美元出”的模式下，最初的30亿美元担保目标可以为亚太地区急需的气候项目创造高达150亿美元的新贷款。气候融资的杠杆担保机制以前从未被多边开发银行采用过。IF-CAP融资将有助于亚开行实现2019-2030年从自有资源中筹集1000亿美元用于应对气候变化的目标。亚开行也正在与潜在的合作伙伴(如双边和多边来源、私营部门和慈善机构，包括全球人类和地球能源联盟)进行讨论，以促进气候投资。,,599,历史,丹麦 日本 韩国 瑞典 英国 美国,气候 亚洲 银行 开行 项目 ,亚洲开发银行 IF-CAP 全球人类和地球能源联盟,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=2&sn=6e6a0a8606053311f3dae36229981a3d&chksm=bef6db0f898152192b2e3d3e54b4a072c5f1583c8e765af6b27b24368ff4bd721f00cf705f89#rd,1683278803
",2023.5.4
10,首次见证！所国总督及夫人受邀参加查尔斯三世加冕典礼,【南太之声编译报道】所罗门群岛总督武纳吉爵士（Sir David Vunagi）于4月26日离境，将出席在伦敦举行的英国国王查尔斯三世的加冕典礼。《所罗门星报》报道，查尔斯三世和他的妻子卡米拉将于5月6日在威斯敏斯特教堂举行加冕典礼，成为英国和其他英联邦国家的国王和王后。应白金汉宫邀请，武纳吉爵士和玛丽·武纳吉夫人（Lady Mary Vunagi）以及外交和对外贸易部长将一起出席加冕仪式。26日，政府发表声明称，根据所罗门群岛宪法，查尔斯三世在已故女王伊丽莎白二世于2022年9月8日去世后成为所罗门群岛的国家元首。国家元首通过其代表，即所罗门群岛总督履行《宪法》规定的职责。在履行《宪法》规定的职能时，总督需确保所罗门群岛有一个连续性、稳定和无党派的政府。查尔斯三世的加冕典礼将是一次盛事，也是近70年来的第一次。在一个千年来基本未变的宗教仪式上，将呈现出盛装和庆祝的辉煌。加冕仪式将由坎特伯雷大主教（Archbishop of Canterbury）主持。对所罗门群岛和英国来说，加冕仪式是具有重大意义的宪政和文化时刻。对于英国、英联邦和国际观众来说，这将是一次独特的体验。“对于所罗门群岛来说，查尔斯三世的加冕典礼将是我们获得独立后见证的第一个所罗门群岛国家元首的加冕仪式。已故女王伊丽莎白二世的加冕典礼是在1953年6月2日，那时距离我们1978年脱离英国独立还有25年。”武纳吉爵士和玛丽·武纳吉夫人定于5月1日抵达伦敦。5月5日，两位将出席国王的午宴和为王国和海外代表举行的招待会。5月6日，他们将出席加冕仪式，并于5月8日返回。,,674,历史,所罗门群岛 英国 其他英联邦国家 威斯敏斯特 白金汉宫 英联邦 坎特伯雷,加冕 所罗门 群岛 查尔斯 典礼 ,,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=5&sn=3ea123eac09c9f25129597740b132557&chksm=bef6db0f898152191c9bb554a719edac66ff10c6ff62068aa3201b4ff11a42cbd82833317ca1#rd,1683278803
",2023.5.3
13,太平洋社区发起集体诉讼：这场气候危机应该让澳大利亚负责！,【南太之声编译报道】一位前太平洋岛国总统近日支持托雷斯海峡岛民发起的一项法律诉讼，要求澳大利亚政府对气候危机的不作为负责。英国《卫报》报道，基里巴斯前总统艾诺特·唐（Anote Tong）24日签署了一份声明，声援卡巴伊（Paul Kabai）和帕拜（Pabai Pabai），他们已将（澳大利亚）政府告上法庭，要求根据科学进一步减少排放。这两名托雷斯海峡岛民来自澳大利亚最北端两个岛屿上的Boigu和Saibai社区。地势低洼的Saibai距离巴布亚新几内亚只有4公里，这两个岛屿都经常被海水淹没。二人代表各自社区发起了一场具有里程碑意义的集体诉讼，认为澳大利亚未能阻止气候变化的行为是非法的，如果不加以控制，气候变化将摧毁他们的家园。唐表示支持，并表示澳大利亚需要在减排方面做得更多。“澳大利亚政府正在加大力度减少国内排放，并承诺到2050年达到零排放水平，这很好，但真正的挑战一直是出口化石燃料、石油和天然气，这些燃料的排放量基本上比国内排放的要多得多。所以这才是真正的挑战。”唐继续指出，“（澳大利亚）政府有时觉得这不是他们的问题。这是进口国的问题，但尽管如此，它仍然是全球排放量的提供者。”在对两个社区进行了为期一周的访问后，唐对二人提出的诉讼表示支持。他说:“我们发现，这些人面临的情况与我们在世界上的处境有很大的相似之处。这些人、这些社区真的没有得到任何关注。”卡巴伊说，他担心如果不采取任何措施缓解气候变化，他所在的文化和社区将面临消失的风险。,,630,历史,基里巴斯 澳大利亚 巴布亚新几内亚,澳大利亚 社区 气候 诉讼 政府 ,联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=2&sn=13699183dd2a3fdb0159fc233fffcaa4&chksm=bef6db248981523266817c961368eb67cc7d3f690405665258818d5121f318428a5099a94817#rd,1682890995
",2023.5.1
14,外国人娶个当地人开公司可行吗？所国宣布这项新政,【南太之声编译报道】所罗门群岛商业、劳工、工业和移民部长奎格托（Fredrick Qologeto）20日在议会表示，任何与所罗门群岛女性结婚的外国人都可以妻子的名义经营企业，只要该企业是以妻子的名义注册的，并且她是银行账户的签字人。《所罗门星报》报道，这是在回答和提问环节时，West Are’Are议员玛尼阿鲁（John Maneniaru）提出了这个问题。玛尼阿鲁说：“我的理解是，如果一个外国人来了所罗门群岛，和当地女性结婚，企业注册在该女子名下，她就可以经营企业。”奎格托回答说:“是的，任何与我国女子结婚的外国人都可以经营企业，因为妻子来自所罗门群岛。但我们部门非常谨慎。企业要注册在妻子名下，她应该是银行账户的签字人，以避免外国人取了钱，然后出国。因此，我们也正在仔细监测漏洞。如果是妻子注册企业，她就应该是签字人。”东霍尼亚拉议员埃特（Douglas Ete）还询问了本地人在国内经商的保留名单有何变化。奎格托表示，已于2020年8月进行了一些修订，为所罗门群岛本地人保留了商业清单。“在农业和农场方面有一些规定，外国人不得在国内销售农产品。这也适用于渔场，他们可以捕鱼，但不能在城里出售。名单现在已经从14个增加到21个。”奎格托表示，政府对国家法律非常谨慎，以确保有平等的机会，为本国民众和外国人提供业务。部门正在制定法规，严格监督在该国做生意的外国人。,,587,历史,所罗门群岛,外国人 企业 所罗门 群岛 妻子 ,所罗门群岛商业 劳工 工业和移民部,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=3&sn=b52f8102654fc4cd7f9b2b14aaad026f&chksm=bef6db24898152323374de4f7d17c91d7e757ef5c6c96f2d2aceaadf848b99409829cb0150ef#rd,1682890995
",2023.5.1
18,太平洋季节性劳工多久回一次新西兰？,【南太之声编译报道】新西兰怀卡托大学和奥克兰科技大学名誉教授理查德·贝德福德（Richard Bedford）和发展政策中心研究员夏洛特·贝德福德（Charlotte Bedford）19日在Devpolicy Blog网站发表署名文章《太平洋季节性劳工多久回一次新西兰？》，文章摘编如下：在季节性工作签证（RSE）计划实施的前15年中，在不同时期，人们一直关注的问题是，就业机会是否在新招聘的劳工和返回（新西兰）劳工之间进行公平分配，或者RSE工作是否主要提供给已经掌握了RSE所需必要技能和经验的返回劳工。在这篇博客中，我们研究了36675名RSE劳工的返岗频率，2007年7月1日至2022年6月30日，他们从太平洋国家到新西兰的频次只有不到10.2万次。尽管自该计划启动以来，几乎每年都有RSE劳工返回新西兰，但所有太平洋国家中，连续10个季度或以上返回新西兰的人数比例都很低。总的来说，只有5%的太平洋地区RSE劳工属于这一长期类别。换句话说，将季节性工作作为长期就业策略的RSE劳工数量并不多。总之，从RSE劳工返回率的数据中可以得出两个关键结论。首先，在该计划实施的前15年里，所有太平洋地区的RSE劳工中，有将近一半（44%）只参加了一个季度的工作。这比预期的要高，表明RSE雇主正在分配季节性工作机会，而不是过度依赖返回劳工。其次，对于返回的劳工来说，大多数人只参加两到三个季度的工作。四个季度或更长时间的劳工返回率比通常认为的要低，这表明在两到三个季度时劳工留存率会出现自然波动。这有助于减轻人们的担忧，即个体劳工对RSE就业的依赖（反映在他们每年重复招聘）正在成为一个普遍的问题。也就是说，如果RSE工作在家庭成员之间传递，那么家庭内部可能仍然存在对RSE工作的依赖。对于可能正在审查其参与新西兰RSE计划的太平洋各国政府来说，在考虑采取任何措施（如任期限制）来管理向新西兰供应季节性劳动力时，应考虑在新招募劳工和返回劳工之间公平分配RSE机会，以及许多劳工只参加两到三年的事实。从本质上讲，RSE计划正按预期运作。大多数RSE工人及其家庭会利用新西兰的季节性工作机会，参与工作时间相对较短，通常是为了实现相当具体的社会和经济目标。对于大多数RSE参与者来说，参与海外季节性就业可以被视为几种生计策略之一，使在本国的家庭能够改善经济状况。,,980,历史,新西兰 太平洋国家,劳工 RSE 新西兰 工作 季节性 ,太平洋季节性劳工计划（RSE）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=7&sn=632b7f602899f97a217c561955aa6c25&chksm=bef6db2489815232d73e57c07431fcea54b334d5c74e56d237da216757c8cbb65c911f8b1560#rd,1682890995
",2023.4.27
22,满意而归！新喀里多尼亚代表结束巴黎会谈,【南太之声编译报道】新喀里多尼亚支持独立和反对独立的对立派系近日均表示，他们对在巴黎与法国政府部长举行的为期一周的单独会谈感到满意。新西兰RNZ17日报道，在三次全民公决中拒绝完全主权和1998年《努美阿协议》到期后，新喀里多尼亚必须制定新的法规。支持独立的党派希望巴黎方面给出完全独立的时间表，而反对独立的党派则希望巴黎方面将该领土和法国重新结盟。会谈将于今年6月在努美阿继续进行，届时法国内政部长达尔马宁（Gerald Darmanin）计划再次访问。该部门表示，5月达尔马宁将前往联合国总部纽约讨论新喀里多尼亚的情况。基于卡纳克人国际公认的自决权，该地区自1986年以来一直在联合国非殖民化名单上。在本周的巴黎会谈后，支持独立的卡纳克民族解放运动的图图戈罗（Victor Tutugoro）说，他这边提出的所有问题都已被接受，将在6月进行谈判。反对独立的各方对卡纳克民族解放运动接受法国邀请参加本周的双边会谈表示满意，因为自2021年第三次也是最后一次独立公投以来，卡纳克民族解放运动一直回避与法国的对话。在关键问题上，双方仍存在很大分歧。支持独立的党派表示，必须保留限制性的省级选举名单，这类名单界定了新喀里多尼亚的公民身份，并被载入法国宪法。反对独立的党派则希望法国为明年的省级选举开放选民名单，将自1998年以来定居的人纳入其中。他们还希望制定一项法规，阻止未来的任何自决选择。,,595,历史,新喀里多尼亚 法国 纽约 努美阿,独立 法国 新喀里多尼亚 巴黎 会谈 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228791&idx=5&sn=65bc4a987297d166c6ebf59fca808ea2&chksm=bef6d8c1898151d7e2e307e502a9720859cf3e2cec5e9da6f844878a5cf79e7a04bf485fc682#rd,1682667165
",2023.4.23
