,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
3,美国总统首访巴新 拜登5月22日抵莫尔兹比港,【南太之声编译报道】巴布亚新几内亚总理马拉佩（James Marape）近日表示，美国总统拜登（Joe Biden）将于5月22日访问巴布亚新几内亚。巴新《国民报》5月1日报道，拜登将在莫尔兹比港停留三个小时，期间与马拉佩举行会谈。马拉佩没有透露他们将讨论哪些问题。但他说，拜登还将会见太平洋岛国论坛的18位领导人，他们将于5月22日在莫尔兹比港参加印度洋-太平洋岛屿合作论坛。印度总理莫迪届时也将访问巴新。马拉佩说:“巴新已经准备好接待拜登和莫迪。”他说，巴新和太平洋地区不能再被忽视。“由于我们的森林和海域加在一起，我们拥有世界上最大的碳汇，以及最大的海域和空域。随着气候变化影响我们的生活方式和经济，我们的生存也面临着最大的威胁。”他还指出，“我有幸在纽约和华盛顿与拜登进行了一对一的会谈，两次我都邀请他访问巴新。我很荣幸他履行了访问我国的承诺。”巴新外长特卡琴科（Justin Tkatchenko）说，拜登将停留三个小时，会见太平洋岛国领导人。然后，他将举行双边会谈，并宣布一些重要消息。特卡琴科说:“从那里，他将前往澳大利亚，在那里他将会见印度、日本和澳大利亚的领导人。”这是美国总统首次访问这个太平洋岛国。特卡琴科指出，“这将在加强与美国的双边和外交关系以及加强太平洋地区方面发挥重要作用。”,553,旅游,美国 巴布亚新几内亚 印度 日本 澳大利亚,巴新 拜登 太平洋 访问 美国 ,印度洋-太平洋岛屿合作论坛 联合国 亚太计划,2023.5.7,7,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=5&sn=2419dcbcce60e1477162cd8bc702412a&chksm=bef6db6289815274aebacf75dfa7e312007c669c21b2e5d92c3d264cbcdc7849e408b36bae18#rd
5,定了！第52届太平洋岛国论坛领导人会议日期和主题公布,图为第52届太平洋岛国论坛领导人会议（PIFLM52）的主题和召开日期确定。（图/太平洋岛屿新闻协会网站截图）【南太之声编译报道】库克群岛政府近日宣布，将于2023年11月6日至10日在拉罗汤加岛主办第52届太平洋岛国论坛领导人会议（PIFLM52），主题为“我们的声音，我们的选择，我们的太平洋之路：促进、合作、繁荣”。库克群岛政府官网5月2日报道，库克群岛总理布朗（Mark Brown）作为PIFLM52的主席和东道主，对即将举行的论坛表示兴奋，他说:“举办太平洋岛国论坛领导人会议对库克群岛和我们太平洋地区来说是一件重要的事情。”布朗指出，“我们一直在进行广泛的规划和咨询，以确保我们的主题能够激励和增强我们的领导人聚会，我们的主办安排和设施为我们的太平洋领导人和太平洋地区的合作伙伴的讨论提供了有利的环境。”他继续说：“我们的主题代表了太平洋民众的集体声音和愿望，强调了促进我们独特的太平洋之路，建立牢固的伙伴关系和推动我们地区繁荣的重要性。”为了促进与会者之间的沟通和协调，库克群岛政府通过外交和移民部作为PIFLM52的国家协调员，开发了一个专门的网站www.piflm52.com，其中将包含论坛的相关信息，包括关键日期、联系信息、新闻更新和后勤细节。PIFLM52的官方会徽以库克群岛的文化遗产和自然环境为特色，代表了太平洋地区的团结和多样性。PIFLM52举办日期的确定考虑了太平洋领导人已经定好的国际日程安排、往返库克群岛的航班以及住宿情况。,632,旅游,库克群岛 拉罗汤加岛,太平洋 领导人 库克 群岛 论坛 ,太平洋岛国论坛,2023.5.5,9,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=1&sn=4e3f19c2f0d2b1d1c8cc13dd047b5b45&chksm=bef6db0f898152194df82093330645f5686317c82f999607f9b5e5d9956b461acf1ae2d340f3#rd
7,重振南太平洋巡航 首批游艇即将返回汤加,【南太之声编译报道】“重振南太平洋巡航”的南太平洋航行网络会议于4月26日至27日在新西兰奥克兰的奥拉姆海洋公园举行。会议的目标是与南太平洋游艇有关的海事当局、个人、组织和企业讨论如何在南太平洋边境重新开放的情况下建立一个有弹性的航运业。汤加matangi网5月1日报道，汤加旅游部首席执行官兼旅游局（TTAB）代理总经理塔考（Viliami Takau）与来自Vava'u船坞的凯撒（Joe Caesar）一起介绍了汤加游艇业的发展情况。约40名代表参加了会议，包括太平洋旅游组织、瓦努阿图旅游局、斐济、塔希提、新西兰、汤加旅游局、市场发展基金（MDF）和海关代表。塔考还参观了新西兰旺格雷和岛屿湾的游艇码头，以更好地了解太平洋游艇行业的性质及其对汤加复苏和经济发展的潜力。塔考说，“游艇行业包括超级游艇，并有潜力成为汤加最大的旅游收入之一，通过提供游艇、船只维护和船只储存等等。据估计，未来一年乘坐游艇入境的人数将远远超过疫情前。”汤加的参与是在市场发展基金的支持下实现的，该基金将通过资助汤加的第一个游艇战略来支持汤加的旅游业。汤加旅游局也正在就汤加的市场品牌化问题与市场发展基金进行最后的讨论，并有可能为其他旅游举措提供进一步的技术援助和支持。汤加正准备迎接边境重开以来的首次游艇拉力赛。首批游艇将于5月18日开始抵达，约有30艘游艇已确认（参与）。估计至少有100名（乘坐）游艇的游客将访问汤加。拉力赛将首先前往努库阿洛法，然后向北巡游到哈帕伊和瓦瓦乌。大多数游艇将在汤加停留近两个月，然后启航前往斐济。与此同时，汤加旅游局将举办欢迎活动，纪念自边境重开以来的首次游艇拉力赛。,693,旅游,新西兰 瓦努阿图  塔希提 汤加,汤加 游艇 太平洋 旅游局 发展 ,南太平洋航行网络会议 瓦努阿图旅游局 斐济 塔希提 新西兰 汤加旅游局 市场发展基金（MDF） 海关,2023.5.4,11,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=3&sn=b1f2a0d49b5bd8c60872949064d0daf6&chksm=bef6db0f898152190d2fc3e009e2edda1b6ea0256589672244da96b263119064d631fbea4e0d#rd
11,旅客注意！因麻疹肆虐 该岛国宣布进入公共卫生紧急状态,【南太之声编译报道】美属萨摩亚24日在发现1例麻疹确诊病例和31例疑似病例后宣布进入公共卫生紧急状态。新西兰RNZ报道，当地时间24日晚上，总督莫利加（Lemanu Peleti Mauga）宣布，该状态将于5月24日解除。政府和卫生部现已获授权，利用一切必要权力遏制和防止麻疹的进一步蔓延。全国至此进入紧急状态。包括社区学院在内的所有学校都将停课三周，学校将使用在线和远程学习。如果有人接触过麻疹病例，卫生部有权在不通知的情况下将其隔离长达21天。美属萨摩亚流行病学家阿内西（Scott Anesi）表示，疑似病例的血液检测已于25日晚送往夏威夷，应在72小时内返回。阿内西指出，现在是“一场等待的游戏”。他说：“我们将根据得到的结果来制定应对措施，但在那之前，我们仍在积极开展大规模疫苗接种运动，当前的应对措施仍在积极进行。”他说，重点是让1岁及以上儿童的疫苗接种率达到100%，并使全国的疫苗接种率达到95%。作为应对措施的一部分，麻疹、腮腺炎和风疹（MMR）的首次接种剂量已从一年降低至6个月。另外，政府已向邻国和国际合作伙伴发出旅行通知，向它们通报了确诊和潜在病例。阿内西说，他不知道邻国实施了哪些任何旅行限制，这是由他们自己决定的。他说:“作为旅行建议的一部分，我们要求那些正在考虑入境或已经计划入境的人在入境前进行全面免疫接种。”,572,旅游,美属萨摩亚 新西兰 夏威夷,麻疹 病例 状态 宣布 进入 ,联合国 亚太计划,2023.5.3,17,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=3&sn=b52f8102654fc4cd7f9b2b14aaad026f&chksm=bef6db24898152323374de4f7d17c91d7e757ef5c6c96f2d2aceaadf848b99409829cb0150ef#rd
12,已收到1.6万份申请 所国多省开展季节性流动工人招聘,【南太之声编译报道】所罗门群岛外交和对外贸易部下属的劳动力流动小组（Labour Mobility Unit，以下简称“LMU”）近日在该国3个省开展了招聘活动，目前已共有1.6万多名申请者提交申请。《所罗门星报》24日报道，其中，LMU向泰莫图（Temotu）、马基拉（Makira）和伊莎贝尔（Isabel）省开展的外联和征聘方案共收到申请940份。这3个省是LMU计划中人数不足的省份，是3月和4月期间招聘的目标。在伊莎贝尔省，LMU于3月27日至31日在布阿拉（Buala）进行了为期5天的招聘活动，总共收到了145份申请。3月30日至4月2日，LMU团队在基拉基拉（Kirakira）妇女会馆进行了为期两天半的招聘。在基拉基拉举行的提高认识会议是基于有关太平洋澳大利亚劳动力流动（PALM）计划和认可的季节性雇主（RSE）计划的问题。在基拉基拉招聘活动期间，LMU共成功登记了435名申请人。最后一次招聘和宣传活动于4月11日至14日在泰莫图省的拉塔（Lata）市进行。另外，今年早些时候开展的为期两周的招聘活动得到了热烈的反响，共有15024名申请人通过在线或电子邮件提交了申请。对招聘感兴趣的上述省份的候选人可以将申请材料提交给LMU团队。对护照和无犯罪证明的要求也有所放松。申请人可跟进这些文件的进展，并在晚些时候提交。,568,旅游,所罗门群岛 澳大利亚,招聘 LMU 申请 活动 开展 ,所罗门群岛外交和对外贸易部，LabourMobilityUnit，PALM计划，RSE计划,2023.5.1,18,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=4&sn=268439de57e31adabb7ea47d3d43060d&chksm=bef6db2489815232ea80514060fc56546d156baa15f59289e15d3c637a01b8569f7c68cb21b3#rd
19,定了！这个东亚国家将于5月与太平洋岛国举行峰会,图为韩国总统府18日表示，总统尹锡悦（Yoon Suk Yeol）将于5月与太平洋岛国领导人举行峰会，讨论如何扩大韩国与该地区的合作。（图/太平洋岛屿新闻协会网站截图）【南太之声编译报道】韩国总统府18日表示，总统尹锡悦（Yoon Suk Yeol）将于5月与太平洋岛国领导人举行峰会，讨论如何扩大韩国与该地区的合作。《韩国时报》报道，首届韩国-太平洋岛国首脑会议将于5月29日至30日在韩国首尔举行，旨在加强该地区岛国之间合作的政府间机构太平洋岛国论坛的18个成员国的领导人都将参加，包括巴布亚新几内亚、斐济、马绍尔群岛共和国、澳大利亚和新西兰等。这将是自去年5月尹锡悦政府上台以来，韩国主办的首次多边首脑会议。韩总统府表示:“即将举行的峰会将标志着我国政府的印太战略开始按地区全面实施，将我们与战略重要性日益提高的太平洋岛国的协商机制提升到最高级别，并根据太平洋岛国的实际需求扩大合作。”,396,旅游,巴布亚新几内亚  马绍尔群岛共和国 澳大利亚 新西兰 韩国,太平洋 岛国 韩国 5月 举行 ,太平洋岛国论坛,2023.4.25,31,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228732&idx=2&sn=872083fde576a89737ffbff53b440ac0&chksm=bef6d88a8981519ca2c2d9561711e88e4e9e9c634457b6524bc8605b7ae8f9bb05d8a15bffe4#rd
25,澳大利亚将在这一岛国设立签证处理办公室,【南太之声编译报道】澳大利亚国际发展和太平洋事务部长康罗伊（Pat Conroy）14日宣布在瓦努阿图首都维拉港设立签证处理办公室。《瓦国日报》报道，康罗伊在参观由澳大利亚国防军人员修复的受损建筑时，在Pango Esnar学校的新闻发布会上传达了这一消息。他早些时候与瓦努阿图总理卡尔萨考（Ishmael Kalsakau）进行了讨论，这是二人5个月来的第四次会面，他们讨论了将如何通过瓦努阿图政府的大力宣传来支持签证处理方面的进一步工作。康罗伊还告诉卡尔萨考，一位高级内政官员将于7月设立签证处理办公室。他说:“这是瓦努阿图政府倡导的直接结果，特别是卡尔萨考与我国总理直接对话后，这也是去年12月签署的双边安全协议的初步成果。”他还表示，他与卡尔萨考的讨论还包括气旋灾后恢复、安全安排以及瓦努阿图和澳大利亚如何为和平、稳定和繁荣的太平洋共同努力。然而，他也表示，不幸的是，瓦努阿图是一个受自然灾害影响最严重的国家，正如48小时内发生两次气旋所表明的那样，随着气候变化，迫切需要进一步协调和寻求全球行动，以应对气候变化。,461,旅游,澳大利亚 瓦努阿图,瓦努阿图 澳大利亚 签证 处理 卡尔萨考 ,联合国 亚太计划,2023.4.21,39,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=4&sn=681846802ac53e1ccccdb953140131c3&chksm=bef6d89789815181685bbd2fac153bdfa4500e06cfbd5bf7c4f9bd9d76e6834d31d819cdd478#rd
39,复活节旅行受影响！瓦努阿图航空继续停运,【南太之声编译报道】在复活节期间，预订瓦努阿图航空机票的乘客将继续面临航班中断，直到本周末晚些时候才能飞往维拉港，因为该航空公司正在等待波音737飞机的零部件。新西兰RNZ4月5日报道，该航空公司4日通过一份声明表示，所有往返澳大利亚和新西兰的航班都已取消，直到本周末（才会恢复）。该航空公司表示:“我们非常遗憾地取消了截至4月7日的所有新西兰和澳大利亚航线的航班。这一声明是在我们等待波音737飞机零部件的最新消息之后发布的。”该公司表示，这些部件是“在美国和澳大利亚波音公司办事处的紧急支持下采购的”，这导致了业务进一步延误。持续的延误意味着前往瓦努阿图的数百名度假者将不得不重新考虑他们的复活节假期旅行计划或完全取消。同时，新西兰航空公司表示，“没有计划”恢复飞往瓦努阿图的航班。7年前，由于担心维拉港国际机场跑道状况“恶化”，新西兰航空暂停了对该国的服务。该航空公司的一位发言人说:“新西兰航空公司专注于恢复我们在疫情前运营的航线的运力，这是首要任务。”,431,旅游,瓦努阿图 新西兰 澳大利亚 美国,航空 公司 新西兰 瓦努阿图 航班 ,美国波音公司 新西兰航空公司,2023.4.8,58,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228581&idx=2&sn=c42222efb8b2fbedc82b8120808ae11e&chksm=bef6d81389815105ec8b25e85a6b5fc178544f3e415b05b32891c0474c40297d7e86ac1ee2e2#rd
49,世界上最美丽的火山岩在哪里？快来瓦国最大岛屿——圣灵岛,【南太之声编译报道】瓦努阿图圣灵岛（Espiritu Santo）位于太平洋，是一座风景如画的岛屿，在地质学家和自然爱好者中引起了极大的关注。该岛的地质特别有趣，因为它有各种各样的火成岩，包括安山岩。在这篇文章中，我们将探索安山岩的关键特征和岩石中发现的斑晶。此外，我们将深入研究圣灵岛的构造环境和岛屿的年龄。《瓦国日报》3月25日报道，安山岩是一种火山岩，其化学成分介于玄武岩和长英质岩石之间。它通常形成于俯冲带，岩浆从上层地幔和上层地壳的部分熔化中产生。安山岩通常是灰色或棕色，具有斑状结构，这意味着它们有大的可见晶体或斑晶镶嵌在细粒的地层中。在圣灵岛安山岩中发现的斑晶主要为斜长石和闪长石。这些斑晶使安山岩具有独特的纹理，并促成了其非凡的美感。圣灵岛的构造环境推动了地质活动，塑造了该岛的景观。该岛是瓦努阿图弧（Vanuatu Arc）的一部分，是澳大利亚板块在太平洋板块下俯冲的一个俯冲区。这种俯冲过程产生了上升到地表的岩浆，导致火山活动和安山岩的形成，就像在圣灵岛发现的那样。根据地质研究，圣灵岛的年龄估计在1200万年左右。就矿物成分而言，圣灵岛安山岩主要由斜长石、闪长石、少量辉石和石英组成。这些矿物是由岩浆冷却和凝固形成的，这些岩浆最初以熔岩的形式上升到地表，形成了特有的安山岩质地和矿物成分。综上所述，圣灵岛有着非凡的地质历史，拥有世界上最美丽的安山岩。岩石中巨大的可见晶体或斑晶的存在增加了它们的美丽，并进一步突出了形成岛屿的迷人地质过程。了解圣灵岛的地质状况不仅是欣赏其自然美景的一种令人兴奋的方式，而且还可以深入了解数百万年来塑造它的构造活动。（周晓编译）,690,旅游,瓦努阿图 澳大利亚,圣灵岛 安山岩 地质 斑晶 形成 ,联合国 亚太经合组织 太平洋岛国联盟 太平洋岛国经济合作组织 太平洋岛国环境计划 太平洋岛国可持续发展计划 太平洋岛国气候变化计划 太平洋岛国社会发展计划。,2023.4.2,72,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=4&sn=a71463905249dba54b4fb42269d11f50&chksm=bef6d9e9898150ff9b89d7f21205003eae460020265f9df2ee2e418cf373d8da74aad429bb7e#rd
53,想到所罗门群岛做研究？可以，但要有许可！,【南太之声编译报道】所罗门群岛政府近日通过环境、气候变化和灾害管理部警告国际研究人员，在该国进行研究之前必须申请许可。《所罗门星报》3月21日报道，这一警告是在有报道称游客前往西部省Rendova岛进行研究后发出的。这是为了让他们遵守国家法律，因为他们会做笔记，并可能在离开该国时带走一些研究对象。该部门的一份声明称:“游客在国内进行任何研究前必须获得政府的许可。”带领游客在Rendova山区徒步旅行的导游澄清说，游客在离开Rendova时没有带走任何来自所罗门群岛的研究对象。“游客知道我们的法律，所以他们会遵守法律，”导游说。导游补充说，他们只是看到了环境和动物，并与导游和护林员多交谈了一些，因为他们在学习中认识了这些动物。这促使该部监督游客在这里从事的行为，不会做出其他未经国家政府许可的工作。该部还警告说，如果任何国际研究人员想要进行研究，他们必须直接向政府申请，政府批准后他们才能进行研究。尽管该部没有阻止国际研究人员赴所罗门群岛进行研究，但他们必须遵守这里的法律。（周晓编译）,446,旅游,所罗门群岛 澳大利亚,研究 进行 游客 所罗门 政府 ,联合国,2023.3.30,76,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=1&sn=cdc2c4375681707d2c9597f3b28dd7bc&chksm=bef6d9e8898150fed2c22555b850da5a0e0e6f5f133ec4afd5478e3a1f9ecf28792e28e54d5c#rd
